[2024-02-18 22:37:29,617: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 22:37:29,617: INFO: common: created directory at: artifacts]
[2024-02-18 22:37:29,618: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-18 22:37:29,618: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-18 22:37:46,675: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-18 22:37:46,997: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-18 22:37:46,997: INFO: main: *******************]
[2024-02-18 22:37:46,997: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-18 22:37:46,998: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 22:37:46,999: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 22:37:47,000: INFO: common: created directory at: artifacts]
[2024-02-18 22:37:47,000: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-18 22:37:47,350: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-18 22:37:47,543: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-18 22:43:43,406: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 22:43:43,408: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 22:43:43,409: INFO: common: created directory at: artifacts]
[2024-02-18 22:43:43,411: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:19:28,315: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:19:28,319: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:19:28,322: INFO: common: created directory at: artifacts]
[2024-02-19 18:19:28,323: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:24:09,399: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:24:09,404: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:24:09,406: INFO: common: created directory at: artifacts]
[2024-02-19 18:24:09,408: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:26:22,942: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:26:22,946: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:26:22,948: INFO: common: created directory at: artifacts]
[2024-02-19 18:26:22,950: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:27:04,555: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:27:04,559: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:27:04,560: INFO: common: created directory at: artifacts]
[2024-02-19 18:27:04,562: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:27:26,664: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:27:26,669: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:27:26,671: INFO: common: created directory at: artifacts]
[2024-02-19 18:27:26,672: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:32:48,330: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-19 18:32:48,331: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:32:48,332: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:32:48,333: INFO: common: created directory at: artifacts]
[2024-02-19 18:32:48,333: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-19 18:32:48,333: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 18:33:03,692: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 18:33:04,127: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-19 18:33:04,127: INFO: main: *******************]
[2024-02-19 18:33:04,128: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-19 18:33:04,130: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:33:04,131: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:33:04,132: INFO: common: created directory at: artifacts]
[2024-02-19 18:33:04,133: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-19 18:33:04,568: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-19 18:33:04,873: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-19 18:34:28,017: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:34:28,021: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:34:28,023: INFO: common: created directory at: artifacts]
[2024-02-19 18:34:28,026: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:37:00,913: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-19 18:37:00,916: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:37:00,917: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:37:00,918: INFO: common: created directory at: artifacts]
[2024-02-19 18:37:00,919: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-19 18:37:00,920: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 18:37:17,116: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-19 18:37:17,632: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-19 18:37:17,633: INFO: main: *******************]
[2024-02-19 18:37:17,633: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-19 18:37:17,635: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:37:17,637: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:37:17,638: INFO: common: created directory at: artifacts]
[2024-02-19 18:37:17,639: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-19 18:37:18,055: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-19 18:37:18,314: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-19 18:38:07,114: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-19 18:38:07,118: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-19 18:38:07,121: INFO: common: created directory at: artifacts]
[2024-02-19 18:38:07,123: INFO: common: created directory at: artifacts\training]
[2024-02-19 18:39:05,121: INFO: common: yaml file: config\config.yaml loaded successfully]
